fundraiser_name,fundraiser_type,organizations,public_numbers,start_date,end_date,address,status,expected_donation,credited,org_type,,
Forensic Science Club Penny Wars Benefitting THON,Coin Collection,Forensic Science Club at Penn State FRNSC Club,729,10/23/2023,10/24/2023,"Thomas Building Room 104: Thomas Building, Shortlidge Rd, University Park, PA 16802:",Canceled,15,,General,,
Altoona Men's Soccer Benefitting THON,Coin Collection,Altoona,165,10/24/2023,10/24/2023,Penn State Altoona:     ,Approved,100,88,Commonwealth,,
Max and Lucas X Pasta Party Benefitting THON,Benefit Dinner,Max Lebofsky and Lucas Walker (2024),3132,11/7/2023,11/7/2023,House: 529 S PUGH ST  STATE COLLEGE PA 16801,Approved,450,332.5,Independent Couple,,
Altoona Sweet Frog Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,10/27/2023,10/27/2023,Sweet Frog: 1602 OSGOOD DR  ALTOONA PA 16602,Approved,200,111,Commonwealth,,
Tapestry Dance Company Benefitting THON,Coin Collection,Tapestry Dance Company ,142,10/28/2023,10/28/2023,The Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,196.95,General,,
Altoona Sam's Club Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,10/29/2023,10/30/2023,Sam's Club: 2500 PLANK RD  ALTOONA PA 16601,Approved,200,870,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,10/29/2023,10/29/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,307,Greek,,
Penn State Law Penny Wars Benefitting THON,Coin Collection,Penn State Law,1552,10/30/2023,11/2/2023,Katz building atrium:     ,Approved,50,80.88,Commonwealth,,
Penn State Law Pumpkin Voting Benefitting THON,Coin Collection,Penn State Law,1552,10/31/2023,11/2/2023,Katz building atrium:     ,Canceled,15,,Commonwealth,,
Altoona Tom and Joe's Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,11/4/2023,11/5/2023,Tom and Joe's: 1201 13TH AVE  ALTOONA PA 16601,Approved,200,537,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,11/5/2023,11/5/2023,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,391.06,Greek,,
Penny Wars x Apollo Benefitting THON,Coin Collection,Apollo ,1745,11/6/2023,11/17/2023,022 BBH- Apollo General Meeting Location:,Approved,800,54,Special Interest,,
Club Lacrosse Penny Wars Benefitting THON,Coin Collection,Men's Lacrosse Club  & Women's Club Lacrosse ,141 & 205,11/6/2023,11/15/2023,Panzer Stadium: Panzer Stadium  University Park PA 16802,Approved,75,,General,,
R&R Captains Pie in the Face Fundraiser Benefitting THON,Coin Collection,THON R&R Fundraising Safety,2245,11/6/2023,11/6/2023,Hub Lawn:     ,Approved,100,361,General,,
Tapestry Dance Company Benefitting THON,Coin Collection,Tapestry Dance Company ,142,11/11/2023,11/11/2023,The Student Book Store: 330 E COLLEGE AVE  STATE COLLEGE PA 16801,Approved,200,159.87,General,,
Altoona Sweet Frog Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,11/11/2023,11/12/2023,Sweet Frog: 1602 OSGOOD DR  ALTOONA PA 16602,Approved,200,305,Commonwealth,,
AMCC Women's Volleyball Conference Tournament Benefitting THON,Coin Collection,Altoona,165,11/11/2023,11/12/2023,Penn State Altoona - Adler Athletic Complex:     ,Canceled,99.99,,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,11/12/2023,11/12/2023,Naked Egg: 320 PINE GROVE RD  STATE COLLEGE PA 16801,Approved,100,472,Greek,,
Forensic Science Club Penny Wars Benefitting THON,Coin Collection,Forensic Science Club at Penn State FRNSC Club,729,11/13/2023,11/14/2023,"Thomas Building Room 104: Thomas Building, Shortlidge Rd, University Park, PA 16802:",Canceled,15,,General,,
Pie an Eclipse Exec Benefitting THON,Coin Collection,Eclipse ,2020,11/14/2023,11/14/2023,Hub Lawn:     ,Approved,50,54,Special Interest,,
Eclipse This or That Benefitting THON,Coin Collection,Eclipse ,2020,11/15/2023,11/15/2023,,Approved,20,23.61,Special Interest,,
LimitlesS Penny Wars Benefitting THON,Coin Collection,LimitlesS ,203,11/21/2023,12/4/2023,104 Chambers:,Approved,200,369.54,General,,
Club Cross Country November 24th Ribbon Sale Benefitting THON,Coin Collection,Club Cross Country XC,305,11/24/2023,11/24/2023,Bryn Mawr Running Co.: 1 W FRONT ST  MEDIA PA 19063,Approved,100,145.32,General,,
Liza Huber and Michael Castelli IDC Movie Night Benefitting THON,Event/Concert,Michael Castelli and Liza Huber (2024),3102,11/7/2023,11/7/2023,Michael Castelli: 221 S BARNARD ST  STATE COLLEGE PA 16801,Denied,300,,Independent Couple,,
Liza Huber and Michael Castelli Game and Dip Night Benefitting THON,Event/Concert,Michael Castelli and Liza Huber (2024),3102,11/7/2023,11/7/2023,Michael Castelli: 221 S BARNARD ST  STATE COLLEGE PA 16801,Approved,250,170,Independent Couple,,
Penny Wars x Benefitting THON,Coin Collection,Harrisburg,164,11/27/2023,12/1/2023,Olmsted Building: Atrium:     ,Denied,100,,Commonwealth,,
Penny Wars 2.0 x Apollo Benefitting THON,Coin Collection,Apollo ,1745,11/27/2023,12/10/2023,022BBH- Apollo General Meeting Location:,Approved,200,392.5,Special Interest,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,11/27/2023,12/10/2023,Clark Elementary: 200 WATER ST  UNIONTOWN PA 15401,Canceled,2000,,Commonwealth,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,11/27/2023,12/10/2023,Clark Elementary:     ,Canceled,2000,,Commonwealth,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,11/27/2023,11/27/2023,Clark Elementary: 200 WATER ST  UNIONTOWN PA 15401,Canceled,2000,,Commonwealth,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,11/27/2023,12/10/2023,Clark Elementary: 200 WATER ST  UNIONTOWN PA 15401,Approved,2000,,Commonwealth,,
Conner’s McTHONneR&Rs’ tag Benefitting THON,Coin Collection,Fundraising Outreach 1,2369,11/27/2023,12/3/2023,Agricultural Engineering Building:     ,Approved,58,,General,,
SPSEA X Happy Quarters Benefitting THON,Coin Collection,Student Pennsylvania State Education Association SPSEA,96,11/27/2023,12/4/2023,Chambers Building:     ,Canceled,10,,General,,
SPSEA X Happy Quarters Benefitting THON,Coin Collection,Student Pennsylvania State Education Association SPSEA,96,11/27/2023,12/4/2023,Chambers Building:     ,Canceled,10,,General,,
SPSEA X Happy Quarters Benefitting THON,Coin Collection,Student Pennsylvania State Education Association SPSEA,96,11/27/2023,12/4/2023,Chambers Building:     ,Approved,10,20.67,General,,
Altoona Tom and Joe's Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,12/1/2023,12/3/2023,Tom and Joes: 1201 13TH AVE  ALTOONA PA 16601,Approved,200,321,Commonwealth,,
Follow the BillingsleadeR&R Tag Benefitting THON,Coin Collection,Events Coordinator and Committee Liaison & THON R&R Fundraising Safety,2245 & 2385,12/1/2023,12/14/2023,"Ferguson Building,  Rm.005:",Approved,150,100,General,,
R&R Secret Santa Fundraiser Benefitting THON,Coin Collection,THON R&R Event Safety & THON R&R Fundraising Safety,538 & 2245,12/3/2023,12/4/2023,Willard 258:,Canceled,100,,General,,
holiday candy grams Benefitting THON,Coin Collection,OPPerations - Rules & Regulations Liaison & Security Team 2,315 & 409,12/4/2023,12/5/2023,Hub Robeson Center:     ,Approved,200,66.5,General,,
R&R Holiday Gift Bag Silent  Auction Benefitting THON,Coin Collection,THON R&R Event Safety & THON R&R Fundraising Safety,538 & 2245,12/4/2023,12/4/2023,Hub:     ,Approved,100,175,General,,
Forensic Science Club Penny Wars Benefitting THON,Coin Collection,Forensic Science Club at Penn State FRNSC Club,729,12/4/2023,12/5/2023,"Thomas Building Room 104: Thomas Building, Shortlidge Rd, University Park, PA 16802:",Approved,15,13.75,General,,
Altoona Basketball Benefitting THON,Coin Collection,Altoona,165,12/6/2023,12/6/2023,Penn State Altoona:     ,Approved,150,112,Commonwealth,,
Eclipse This or That Benefitting THON,Coin Collection,Eclipse ,2020,12/6/2023,12/6/2023,Sparks Building:     ,Approved,15,12.38,Special Interest,,
Technology Committee Advent of Code Challenge  Benefitting THON,Coin Collection,THON Technology,1013,12/6/2023,12/6/2023,,Approved,100,70,General,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,12/10/2023,12/15/2023,Clark Elementary: 200 WATER ST  UNIONTOWN PA 15401,Canceled,2000,,Commonwealth,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,12/10/2023,12/15/2023,Clark Elementary: 200 WATER ST  UNIONTOWN PA 15401,Approved,2000,,Commonwealth,,
Happy Quarters Benefitting THON,Coin Collection,Circle K ,84,12/13/2023,12/13/2023,Willard Building:     ,Approved,12,,General,,
Rexanna Quedenfeld and Lisa Han Item Sale X Benefitting THON,Item Sale,Rexanna Quedenfeld and Lisa Han (2024),3094,11/7/2023,11/7/2023,HUB Lounge Table #3:,Approved,200,247,Independent Couple,,
Club Cross Country December 29th Ribbon Sale Benefitting THON,Coin Collection,Club Cross Country XC,305,12/29/2023,12/29/2023,Bryn Mawr Running Co.: 1 W FRONT ST  MEDIA PA 19063,Approved,125,683.52,General,,
Bracelet and Cookie Sale Benefitting THON,Item Sale,Carly Weisfelner and Emily Locker (2024),3085,11/7/2023,11/16/2023,Carly Weisfelner: 131 HIESTER ST 907 STATE COLLEGE PA 16801,Approved,50,41,Independent Couple,,
100 days 'til THON Sea Shell Christmas Ornament Making Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Meaghan Sholtis and Ava Manne (2024),3206,11/8/2023,11/8/2023,Hetzel Union Building:     ,Denied,150,,Independent Couple,,
Guess the Number of Seashells Benefitting THON,100 Days 'Til THON Alternative Fundraiser,Maddie Neulander and Katelyn Felsberg (2024),3190,11/8/2023,11/8/2023,HUB:     ,Canceled,100,,Independent Couple,,
Altoona Coffee on 3rd Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,1/13/2024,1/13/2024,Coffee on 3rd: 1524 3RD AVE  DUNCANSVILLE PA 16635,Approved,200,46,Commonwealth,,
Spoontag Benefitting THON,Coin Collection,Fundraising Outreach 5,2383,1/14/2024,1/16/2024,Anywhere on or Near Campus that someone could be tagged with a spoon:     ,Approved,155,105,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,1/14/2024,1/14/2024,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,631,Greek,,
Tapestry Dance Company Happy Quarters #2 Benefitting THON,Coin Collection,Tapestry Dance Company ,142,1/15/2024,1/15/2024,Joab L. Thomas Building:     ,Approved,5,8.79,General,,
Ribbon Sale Benefitting THON,Coin Collection,Security Team 2 & THON R&R Event Safety,315 & 538,1/15/2024,1/19/2024,,Approved,70,29,General,,
R&R Chipotle Fundraising Benefitting THON,Coin Collection,THON R&R Event Safety & THON R&R Fundraising Safety,538 & 2245,1/16/2024,1/16/2024,116 Heister Ave:,Approved,500,0,General,,
R&R Chipotle Fundraising Benefitting THON,Coin Collection,THON R&R Event Safety & THON R&R Fundraising Safety,538 & 2245,1/16/2024,1/16/2024,116 Heister Ave:,Canceled,500,,General,,
R&R WinteR&R Ball Fundraising Benefitting THON,Coin Collection,THON R&R Fundraising Safety,2245,1/18/2024,1/18/2024,Hertitage Hall:     ,Canceled,200,,General,,
Altoona Tom and Joe's Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,1/19/2024,1/21/2024,Tom and Joe's: 1201 13TH AVE  ALTOONA PA 16601,Approved,200,618,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,1/21/2024,1/21/2024,Waffle Shop: 1229 N ATHERTON ST  STATE COLLEGE PA 16803,Approved,100,720,Greek,,
The Bear Exchange Benefitting THON,Coin Collection,Fayette,44,1/22/2024,2/4/2024,Albert Gallatin School District: 2625 MORGANTOWN RD  UNIONTOWN PA 15401,Approved,1000,,Commonwealth,,
Eclipse This or That Benefitting THON,Coin Collection,Eclipse ,2020,1/24/2024,1/24/2024,Sparks Building:     ,Approved,15,14.76,Special Interest,,
UPUA penny wars Benefitting THON,Coin Collection,University Park Undergraduate Association UPUA,1202,1/24/2024,2/6/2024,UPUA office HUB:     ,Canceled,25,,General,,
ServeState Wii Night Benefitting THON,Coin Collection,Servestate: Students For Philanthropy ServeState,546,1/25/2024,1/25/2024,My apartment: 300 S PUGH ST  STATE COLLEGE PA 16801,Approved,50,40,General,,
Altoona Tom and Joe's Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,1/26/2024,1/28/2024,Tom and Joe's: 1201 13TH AVE  ALTOONA PA 16601,Approved,200,,Commonwealth,,
R&R Got Talent Benefitting THON,Coin Collection,THON R&R Fundraising Safety,2245,1/28/2024,1/28/2024,Forum 108:,Approved,200,,General,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,1/28/2024,1/28/2024,Waffle Shop: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,496,Greek,,
Spoontag Benefitting THON,Coin Collection,Fundraising Outreach 5,2383,1/28/2024,2/10/2024,Anywhere on or Near Campus that someone could be tagged with a spoon:     ,Approved,30,,General,,
Altoona Tom and Joes Ribboning Sale Benefitting THON,Coin Collection,Altoona,165,2/2/2024,2/4/2024,Tom and Joe's Restaurant: 1201 13TH AVE  ALTOONA PA 16601,Approved,200,,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,2/4/2024,2/4/2024,Waffle Shop: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,469,Greek,,
Tapestry Dance Company Happy quarters #3 Benefitting THON,Coin Collection,Tapestry Dance Company ,142,2/5/2024,2/5/2024,White Building:     ,Approved,5,16.91,General,,
Happy Quarters Impact Benefitting THON,Coin Collection,Impact ,1751,2/6/2024,2/6/2024,Natalie Murtagh's Apartment: 300 WAUPELANI DR  STATE COLLEGE PA 16801,Approved,60,71.32,Special Interest,,
Penn State CHAARG Happy Coins Benefitting THON,Coin Collection,"Changing Health, Attitudes, and Actions To Recreate Girls at Penn State CHAARG",2098,2/8/2024,2/8/2024,Willard Building 60:,Approved,100,105.39,General,,
CullyfloweR&Rs Penny Wars Benefitting THON,Coin Collection,Events Coordinator & Committee Liaison,2373,2/9/2024,2/9/2024,HUB Information Booth:     ,Canceled,100,,General,,
Altoona Texas Roadhouse Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,2/9/2024,2/10/2024,Texas Roadhouse:     ,Approved,200,,Commonwealth,,
Altoona Sam's Club Ribboning Fundraiser Benefitting THON,Coin Collection,Altoona,165,2/9/2024,2/10/2024,Sam's Club: 2500 PLANK RD  ALTOONA PA 16601,Approved,200,,Commonwealth,,
Ribbon Sale Benefitting THON,Coin Collection,Alpha Tau Omega ATO & Zeta Tau Alpha,1 & 2,2/11/2024,2/11/2024,Waffle Shop: 1610 W COLLEGE AVE  STATE COLLEGE PA 16801,Approved,100,745,Greek,,
Altoona 50/50 Raffle Benefitting THON,Coin Collection,Altoona,165,2/12/2024,2/14/2024,Penn State Altoona:     ,Approved,200,,Commonwealth,,
FOTO Date Auction Benefitting THON,Date Auction,FOTO ,1336,10/2/2023,10/2/2023,Old Main:     ,Approved,100,475,Special Interest,,
Delta Sigma Phi and Club Cheer date auction Benefitting THON,Date Auction,Cheerleading Club Club Cheer & Delta Sigma Phi,13 & 321,11/1/2023,11/1/2023,Delta Sigma Phi Fraternity: 508 LOCUST LN  STATE COLLEGE PA 16801,Approved,300,574,Greek,,
Fratchelor Benefitting THON,Date Auction,Delta Zeta DZ & Sigma Pi,39 & 36,11/1/2023,11/1/2023,Sigma Pi: 303 FRATERNITY ROW  STATE COLLEGE PA 16801,Approved,300,,Greek,,
Phi Sigma Rho and Chi Phi Date Auction Benefitting THON,Date Auction,Chi Phi & Phi Sigma Rho Phi Rho,81 & 160,11/3/2023,11/3/2023,Chi Phi House: 360 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,150,1144,Greek,,
Sigma Kappa X Phi Gamma Delta Date Auction Benefitting THON,Date Auction,Phi Gamma Delta & Sigma Kappa,35 & 19,11/7/2023,11/7/2023,Phi Gamma Delta House: 319 N Burrowes Road  University Park PA 16802,Approved,500,2792.7,Greek,,
Sigma Sigma Sigma x Zeta Beta Tau Mr. ZBT Competition: Benefitting THON,Date Auction,Sigma Sigma Sigma Tri Sigma & Zeta Beta Tau ZBT,33 & 1476,11/15/2023,11/15/2023,ZBT House: 429 E HAMILTON AVE  STATE COLLEGE PA 16801,Approved,500,98,Greek,,
Lion Ambassador Date Auciton Benefitting THON,Date Auction,Lion Ambassadors ,83,11/16/2023,11/16/2023,Penn State Alumni Association:     ,Approved,800,1263,General,,
Omega Chi Sigma & Omega Phi Alpha Date Auction Fundraiser Benefitting THON,Date Auction,Omega Chi Sigma & Omega Phi Alpha OphiA,48 & 2440,11/28/2023,11/28/2023,Willard Building:     ,Canceled,400,,Greek,,
Date Auction Benefitting THON,Date Auction,Omega Chi Sigma & Omega Phi Alpha OphiA,48 & 2440,11/28/2023,11/28/2023,Willard 064:,Approved,200,171,Greek,,
Date Auction Benefitting THON,Date Auction,South Asian Student Association SASA,150,11/29/2023,11/29/2023,CBEB 001:,Denied,100,,NewMC,,
A-7 Date Auction x Benefitting THON,Date Auction,A-7,1192,12/4/2023,12/4/2023,Willard Building:     ,Canceled,30,,Special Interest,,
Beta Sigma Beta Date Auction Benefitting THON,Date Auction,Beta Sigma Beta & Kappa Delta KD,68 & 26,12/6/2023,12/6/2023,Beta Sigma Beta: 255 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,1200,3889,Greek,,
Beta Sigma Beta Date Auction Benefitting THON,Date Auction,Beta Sigma Beta & Kappa Delta KD,68 & 26,12/6/2023,12/6/2023,Beta Sigma Beta: 255 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Canceled,1200,,Greek,,
FOTO Date Auction Benefitting THON,Date Auction,FOTO ,1336,1/8/2024,1/8/2024,Wartik 111:,Approved,200,381,Special Interest,,
Date Auction Impact Benefitting THON,Date Auction,"Hershey Kisses HK, Impact  & Pillar ","1297, 1751 & 1667",1/11/2024,1/11/2024,Willard Room 075:,Approved,200,579,Special Interest,,
Navigators Date Auction Benefitting THON,Date Auction,Navigators at Penn State ,313,1/16/2024,1/16/2024,Willard Building:     ,Approved,300,510,General,,
Club Cross Country Senior Auction Benefitting THON,Date Auction,Club Cross Country XC,305,1/18/2024,1/18/2024,Sparks 10:,Approved,150,582.21,General,,
Date or Dare x Apollo Benefitting THON,Date Auction,Apollo ,1745,1/22/2024,1/22/2024,022 BBH- Apollo General Meeting Location:,Approved,500,317,Special Interest,,
CIES Date Auction Benefitting THON,Date Auction,Corporate Innovation & Entrepreneurship Society CIES,727,1/22/2024,1/22/2024,Business Building 106:,Approved,400,554,General,,
HEAL Date Auction Benefitting THON,Date Auction,HEAL: Help Every Angel Live ,1540,1/29/2024,1/29/2024,Willard Building:     ,Approved,100,406,Special Interest,,
Bid It to Win It Benefitting THON,Date Auction,Blue & White Society BWS ,53,1/30/2024,1/30/2024,Hintz Family Alumni Center:     ,Approved,100,206,General,,
BFC Date Auction Benefitting THON,Date Auction,"Alpha Kappa Psi , Delta Sigma Pi , Phi Beta Lambda, Phi Chi Theta  & Phi Gamma Nu ","29, 61, 85, 206 & 1029",1/31/2024,1/31/2024,Forum 102:,Approved,500,4055,Greek,,
Eclipse Auction Benefitting THON,Date Auction,Eclipse ,2020,1/31/2024,1/31/2024,The Legend Apartments: 246 HIGHLAND AVE  STATE COLLEGE PA 16801,Approved,500,938,Special Interest,,
Atlas Date Auction Benefitting THON,Date Auction,Atlas ,312,2/1/2024,2/1/2024,"Chambers Building, Room 108:",Approved,200,163,Special Interest,,
SDT x Phi Who Date Auction Benefitting THON,Date Auction,Phi Kappa Theta & Sigma Delta Tau,24 & 49,2/5/2024,2/5/2024,Phi Kappa Theta: 338 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,500,1224,Greek,,
Date Auction Benefitting THON,Date Auction,Alpha Sigma Alpha ASA & Pi Kappa Phi Pi Kapp,6 & 3,2/5/2024,2/5/2024,Pi Kappa Phi Chapter House: 409 E FAIRMOUNT AVE  STATE COLLEGE PA 16801,Approved,700,684.5,Greek,,
SAE and ADPi Date Auction Benefitting THON,Date Auction,Alpha Delta Pi ADPi & Sigma Alpha Epsilon SAE,20 & 209,2/6/2024,2/6/2024,Sigma Alpha Epsilon: 200 E BEAVER AVE  STATE COLLEGE PA 16801,Canceled,100,,Greek,,
Pie an Officer in the Face Operation Blue and Gold Benefitting THON,Date Auction,Operation Blue and Gold OBG,133,2/6/2024,2/6/2024,Wagner Building:     ,Approved,500,70,General,,
Date Auction SNAPS x KINES Benefitting THON,Date Auction,Kinesiology Club KINES club & Student Nurses' Association at Penn State SNAPS,104 & 100,2/7/2024,2/7/2024,Sackett Building 110:,Approved,250,383,General,,
PSNtv: Auction X Benefitting THON,Date Auction,Penn State Network Television PSNtv,320,2/8/2024,2/8/2024,Willard Building:     ,Denied,250,,General,,
Lionettes Date Auction Benefitting THON,Date Auction,Dance Team (Lionettes),204,2/9/2024,2/14/2024,Pugh Street Apartments: 131 S PUGH ST  STATE COLLEGE PA 16801,Approved,500,1237,General,,
